weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0100372
33554432,2,0.0184156
67108864,4,0.0352676
134217728,8,0.0593203
268435456,16,0.0990177
33554432,1,0.02287
67108864,2,0.0389396
134217728,4,0.063148
268435456,8,0.103315
536870912,16,0.193931
67108864,1,0.064426
134217728,2,0.0930171
268435456,4,0.147283
536870912,8,0.214569
1073741824,16,0.406287
134217728,1,0.156894
268435456,2,0.218598
536870912,4,0.327473
1073741824,8,0.45267
2147483648,16,0.703426
268435456,1,0.396662
536870912,2,0.513813
1073741824,4,0.990692
2147483648,8,1.48297
4294967296,16,
536870912,1,0.958219
1073741824,2,1.20614
2147483648,4,1.4342
4294967296,8,
8589934592,16,
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
8589934592,1,oom
17179869184,2,oom
