strong_scaling
keycount,gpucount,time
build tests
16777215,1,0.0718866
16777215,2,0.096115
16777215,4,0.140086
16777215,6,0.203281
33554431,1,0.116866
33554431,2,0.133571
33554431,4,0.165132
33554431,6,0.238307
67108863,1,0.21683
67108863,2,0.216378
67108863,4,0.230843
67108863,6,0.27915
134217727,1,0.403548
134217727,2,0.382934
134217727,4,0.335095
134217727,6,0.37835
268435455,1,0.780758
268435455,2,0.717783
268435455,4,0.492141
268435455,6,0.583443
536870911,1,oom
536870911,2,1.38799
536870911,4,1.01287
536870911,6,1.05996
1073741823,1,oom
1073741823,2,oom
1073741823,4,1.94442
1073741823,6,1.79667
2147483647,1,oom
2147483647,2,oom
2147483647,4,oom
2147483647,6,oom
4294967295,1,oom
4294967295,2,oom
4294967295,4,oom
4294967295,6,oom
8589934591,1,oom
8589934591,2,oom
8589934591,4,oom
8589934591,6,oom
intersect tests
8388607,1,0.0902405
8388607,2,0.11198
8388607,4,0.142298
8388607,6,0.218504
16777215,1,0.154043
16777215,2,0.1585
16777215,4,0.179547
16777215,6,0.249135
33554431,1,0.279349
33554431,2,0.260549
33554431,4,0.235676
33554431,6,0.33204
67108863,1,0.53776
67108863,2,0.467499
67108863,4,0.366923
67108863,6,0.471566
134217727,1,1.04947
134217727,2,0.886977
134217727,4,0.615364
134217727,6,0.701977
268435455,1,oom
268435455,2,1.73266
268435455,4,1.15107
268435455,6,1.17947
536870911,1,oom
536870911,2,oom
536870911,4,2.36802
536870911,6,2.19794
1073741823,1,oom
1073741823,2,oom
1073741823,4,oom
1073741823,6,oom
2147483647,1,oom
2147483647,2,oom
2147483647,4,oom
2147483647,6,oom
4294967295,1,oom
4294967295,2,oom
4294967295,4,oom
4294967295,6,oom
