weak_scaling
keycount,gpucount,time
build tests
16777215,1,0.0718018
33554430,2,0.132175
67108860,4,0.225675
100663290,6,0.304757
33554431,1,0.119181
67108862,2,0.215738
134217724,4,0.298982
201326586,6,0.477159
67108863,1,0.213722
134217726,2,0.383461
268435452,4,0.48614
402653178,6,0.783093
134217727,1,0.403359
268435454,2,0.717997
536870908,4,1.01616
805306362,6,1.45013
268435455,1,0.780187
536870910,2,1.09059
1073741820,4,1.97559
1610612730,6,2.52178
536870911,1,oom
1073741822,2,oom
2147483644,4,oom
3221225466,6,oom
1073741823,1,oom
2147483646,2,oom
4294967292,4,oom
6442450938,6,oom
2147483647,1,oom
4294967294,2,oom
8589934588,4,oom
12884901882,6,oom
4294967295,1,oom
8589934590,2,oom
17179869180,4,oom
25769803770,6,oom
8589934591,1,oom
